2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
8.95265128	81.40122294779411	8.95265128	83.3357685466587	8.95265128	34.02719508308297	8.95265128	55.476659233542705	8.95265128	66.3344529595621	8.95265128	75.66318781237729	8.95265128	-1.7243818292878075
8.99611704	108.0816947543832	8.99611704	79.78965712090456	8.99611704	32.82259314494394	8.99611704	56.56896487604172	8.99611704	59.032414755221566	8.99611704	51.42640325055504	8.99611704	40.902849421295656
9.0395828	39.76335969875254	9.0395828	77.21512948469416	9.0395828	21.62152641112408	9.0395828	66.64426734330846	9.0395828	59.71287553442619	9.0395828	63.19027040511611	9.0395828	33.533132878087855
9.08304856	67.44621632059057	9.08304856	88.61338236099681	9.08304856	31.42409057433491	9.08304856	55.70383183147078	9.08304856	72.37662723294545	9.08304856	42.954910748090526	9.08304856	15.166577945948376
9.12651432	46.130263159585866	9.12651432	78.98562605770138	9.12651432	42.23038160382879	9.12651432	28.748923561769516	9.12651432	52.02447262938915	9.12651432	28.720446958601286	9.12651432	32.80329590418674
9.16998008	79.81549875542689	9.16998008	51.33308204670601	9.16998008	38.04049548527922	9.16998008	39.78080576290358	9.16998008	30.657223399408963	9.16998008	36.48700276832841	9.16998008	40.443399614748756
9.21344584	68.50192164780213	9.21344584	65.6569806433169	9.21344584	48.854527972339554	9.21344584	41.80073774833272	9.21344584	60.275698254903205	9.21344584	40.254702810087394	9.21344584	48.08700324040561
9.2569116	85.18953037640011	9.2569116	62.95855878339961	9.2569116	18.67257434958111	9.2569116	54.809973085930324	9.2569116	23.88072116600017	9.2569116	49.02367246951306	9.2569116	12.734221972748088
9.30037736	100.87832348090927	9.30037736	44.239057895791746	9.30037736	20.49472920652005	9.30037736	26.80975785748251	9.30037736	81.47311966356358	9.30037736	10.794037739837648	9.30037736	35.38517176979272
9.34384312	71.56829950101817	9.34384312	74.49972186748408	9.34384312	12.321086222443398	9.34384312	58.8013290055942	9.34384312	75.0537232200619	9.34384312	28.565925079753583	9.34384312	18.03996910300421
9.38730888	56.259456976415265	9.38730888	79.74179509917548	9.38730888	38.15173796175071	9.38730888	33.785912765549256	9.38730888	72.62336170667697	9.38730888	45.33946127434754	9.38730888	32.69873071354883
9.43077464	71.95179444678908	9.43077464	78.96652064884137	9.43077464	58.986775679537175	9.43077464	47.76472317979187	9.43077464	50.182863924511935	9.43077464	25.114773299094594	9.43077464	49.36157337758655
9.4742404	71.64531045182807	9.4742404	96.17513846091487	9.4742404	35.82628913714137	9.4742404	0.7389606926726628	9.4742404	85.73305620784743	9.4742404	48.89198818689994	9.4742404	30.02861368042241
9.51770616	104.34000353122076	9.51770616	54.36888367889213	9.51770616	40.67036642739157	9.51770616	20.709810823179396	9.51770616	50.2747610974817	9.51770616	64.67123289817249	9.51770616	32.699967799330494
9.56117192	82.03587222465566	9.56117192	40.54898503902649	9.56117192	48.51909380928754	9.56117192	36.6784429134359	9.56117192	24.808796082077265	9.56117192	61.45263419391864	9.56117192	42.375751294873595
9.60463768	54.73291507182128	9.60463768	68.71666334295395	9.60463768	55.372555551858966	9.60463768	56.6460089507209	9.60463768	39.33597240565507	9.60463768	24.236318511840665	9.60463768	34.05607891054015
9.64810344	58.43113061240604	9.64810344	66.87313000706189	9.64810344	45.23083378694827	9.64810344	46.61364246091853	9.64810344	73.85709393926084	9.64810344	33.02241184542234	9.64810344	24.741064380525046
9.6915692	51.13051738609849	9.6915692	66.01958568649451	9.6915692	31.094008370664312	9.6915692	55.58245747121782	9.6915692	62.37295611500815	9.6915692	33.81103962598999	9.6915692	29.430820245475758
9.73503496	47.83107393258712	9.73503496	50.15721897168868	9.73503496	72.96215675327056	9.73503496	24.5535475400402	9.73503496	49.884344920568424	9.73503496	37.602326607727576	9.73503496	28.12545767604584
9.77850072	53.532798791560424	9.77850072	73.28720515542835	9.77850072	10.835353857258895	9.77850072	30.527984852135887	9.77850072	37.3920359524069	9.77850072	38.39639675563362	9.77850072	23.825086304072926
9.82196648	45.23569050270686	9.82196648	68.4107050683512	9.82196648	28.713671963380364	9.82196648	42.50681937684658	9.82196648	60.89679352592941	9.82196648	44.19337313639815	9.82196648	48.52981406123118
9.86543224	18.939747605715013	9.86543224	89.52886398100117	9.86543224	16.597180604396442	9.86543224	56.49107808763529	9.86543224	58.39936984085182	9.86543224	77.99337781218512	9.86543224	9.239747024979721
9.908898	63.644968640273305	9.908898	113.64281057047327	9.908898	-1.514053533668914	9.908898	58.48176424088251	9.908898	55.90050420008049	9.908898	32.79653173729898	9.908898	6.954989271659684
9.95236376	51.35135214607024	9.95236376	132.7536559497209	9.95236376	59.380033296992394	9.95236376	53.4798567121552	9.95236376	32.40092228045762	9.95236376	73.60295465771824	9.95236376	45.675642736573224
9.99582952	86.05889666279435	9.99582952	88.86249275774998	9.99582952	9.279501821553538	9.99582952	36.48630938804581	9.99582952	39.9013354537434	9.99582952	68.4127650134761	9.99582952	45.401807080888744
10.03929528	60.76760073013409	10.03929528	71.9703943087813	10.03929528	10.184409664971952	10.03929528	34.502050611844425	10.03929528	65.40244015621067	10.03929528	50.226079843866756	10.03929528	8.133579565225233
10.08276104	67.47746288777802	10.08276104	95.07841379865266	10.08276104	36.0948112810467	10.08276104	41.52798268119386	10.08276104	68.90491730535507	10.08276104	41.04301469545956	10.08276104	29.871054929750613
10.1262268	71.18848167541452	10.1262268	84.18758356674579	10.1262268	51.010757887895295	10.1262268	60.56498139611085	10.1262268	88.40943176212534	10.1262268	40.86368353289785	10.1262268	10.614325280659529
10.16969256	92.9006556327322	10.16969256	73.29891441162243	10.16969256	13.932297409657565	10.16969256	25.61389565555055	10.16969256	14.916631837242335	10.16969256	14.688198652462376	10.16969256	60.363479982871155
10.21315832	31.613983299419516	10.21315832	64.41339495876008	10.21315832	43.859474424227926	10.21315832	51.67554710098648	10.21315832	47.42714884006057	10.21315832	82.51667059837743	10.21315832	-3.881394441191418
10.25662408	20.32846321516493	10.25662408	39.5319910787627	10.25662408	33.79233011681862	10.25662408	31.75072980528148	10.25662408	27.941596668648003	10.25662408	58.349208081837645	10.25662408	-7.120214406888039
10.30008984	59.044093919657	10.30008984	54.6556453543314	10.30008984	35.73090223916705	10.30008984	36.84021000531811	10.30008984	24.46057143955261	10.30008984	49.185917902732086	10.30008984	24.64710064314832
